,Имя,Фамилия,email,username,plain_password,roles,isCV,Открытие поиска,Статус поиска
1,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице не в формате email,пустое поле,Любое значение на кириллице,-,false,сегодняшняя дата,active_search
2,любое значение на латинице  с спец символами,любое значение на латинице,пустое поле,Любое значение на кириллице,пустое поле,admin,true,любая будущая дата,on_project
3,любое значение на латинице  с спец символами,любое значение на латинице  с спец символами,любое значение на латинице в формате email,только спецсимволы ,любое значение на латинице с цифрами,-,-,сегодняшняя дата,-
4,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице не в формате email,пустое поле,Любое значение на кириллице,user,true,любая прошлая дата,active_search
5,любое значение на латинице  с спец символами,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице,только спецсимволы ,-,false,пустое поле,pause_search
6,любое значение на латинице  с спец символами,любое значение на латинице,пустое поле,Любое значение на кириллице,пустое поле,user,-,25.08.2024,on_project
7,пустое поле,пустое поле,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице с цифрами,user,false,25.08.2024,-
8,пустое поле,любое значение на латинице,любое значение на латинице в формате email,пустое поле,только спецсимволы ,user,true,сегодняшняя дата,pause_search
9,пустое поле,любое значение на латинице  с спец символами,любое значение на латинице не в формате email,любое значение на латинице,пустое поле,admin,false,25.08.2024,on_project
10,пустое поле,пустое поле,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице с цифрами,-,-,любая будущая дата,-
11,пустое поле,Любое значение на кириллице,пустое поле,только спецсимволы ,Любое значение на кириллице,user,true,сегодняшняя дата,active_search
12,пустое поле,любое значение на латинице,любое значение на латинице в формате email,пустое поле,только спецсимволы ,admin,-,любая прошлая дата,pause_search
13,пустое поле,любое значение на латинице  с спец символами,любое значение на латинице не в формате email,любое значение на латинице,пустое поле,-,true,пустое поле,on_project
14,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице в формате email,любое значение на латинице,любое значение на латинице с цифрами,user,-,пустое поле,-
15,Любое значение на кириллице,любое значение на латинице,любое значение на латинице не в формате email,Любое значение на кириллице,Любое значение на кириллице,admin,true,25.08.2024,active_search
16,Любое значение на кириллице,любое значение на латинице,Любое значение на кириллице,только спецсимволы ,только спецсимволы ,-,false,любая будущая дата,pause_search
17,Любое значение на кириллице,пустое поле,пустое поле,пустое поле,пустое поле,user,-,сегодняшняя дата,on_project
18,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице в формате email,любое значение на латинице,любое значение на латинице с цифрами,-,true,25.08.2024,-
19,Любое значение на кириллице,любое значение на латинице,любое значение на латинице не в формате email,Любое значение на кириллице,Любое значение на кириллице,user,false,любая будущая дата,active_search
20,Любое значение на кириллице,любое значение на латинице  с спец символами,Любое значение на кириллице,только спецсимволы ,только спецсимволы ,admin,-,сегодняшняя дата,pause_search
21,Любое значение на кириллице,пустое поле,пустое поле,пустое поле,пустое поле,-,true,любая прошлая дата,on_project
22,любое значение на латинице ,любое значение на латинице,Любое значение на кириллице,пустое поле,любое значение на латинице с цифрами,user,-,любая прошлая дата,-
23,любое значение на латинице ,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице,Любое значение на кириллице,admin,true,пустое поле,active_search
24,любое значение на латинице ,пустое поле,любое значение на латинице в формате email,Любое значение на кириллице,только спецсимволы ,-,-,25.08.2024,pause_search
25,любое значение на латинице ,Любое значение на кириллице,любое значение на латинице не в формате email,только спецсимволы ,пустое поле,user,true,любая будущая дата,on_project
26,любое значение на латинице ,любое значение на латинице,Любое значение на кириллице,пустое поле,любое значение на латинице с цифрами,admin,false,сегодняшняя дата,-
27,любое значение на латинице ,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице,Любое значение на кириллице,-,-,25.08.2024,active_search
28,любое значение на латинице ,пустое поле,любое значение на латинице в формате email,Любое значение на кириллице,только спецсимволы ,user,true,любая будущая дата,pause_search
29,любое значение на латинице ,Любое значение на кириллице,любое значение на латинице не в формате email,только спецсимволы ,пустое поле,-,false,сегодняшняя дата,on_project
30,любое значение на латинице  с спец символами,любое значение на латинице  с спец символами,любое значение на латинице в формате email,только спецсимволы ,любое значение на латинице с цифрами,-,true,сегодняшняя дата,-
31,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице не в формате email,пустое поле,Любое значение на кириллице,user,false,любая прошлая дата,active_search
32,любое значение на латинице  с спец символами,Любое значение на кириллице,Любое значение на кириллице,vanyaIvanov,только спецсимволы ,-,-,пустое поле,pause_search
33,любое значение на латинице  с спец символами,любое значение на латинице,пустое поле,Любое значение на кириллице,пустое поле,user,true,25.08.2024,on_project
34,любое значение на латинице  с спец символами,любое значение на латинице  с спец символами,любое значение на латинице в формате email,только спецсимволы ,любое значение на латинице с цифрами,admin,-,любая будущая дата,-
35,любое значение на латинице  с спец символами,пустое поле,любое значение на латинице не в формате email,пустое поле,Любое значение на кириллице,-,true,сегодняшняя дата,active_search
36,любое значение на латинице  с спец символами,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице,только спецсимволы ,user,false,25.08.2024,pause_search
37,любое значение на латинице  с спец символами,любое значение на латинице,пустое поле,Любое значение на кириллице,пустое поле,admin,-,любая будущая дата,on_project
38,пустое поле,пустое поле,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице с цифрами,-,false,любая будущая дата,-
39,пустое поле,Любое значение на кириллице,пустое поле,только спецсимволы ,Любое значение на кириллице,user,-,сегодняшняя дата,active_search
40,пустое поле,любое значение на латинице,любое значение на латинице в формате email,пустое поле,только спецсимволы ,admin,true,любая прошлая дата,pause_search
41,пустое поле,любое значение на латинице  с спец символами,любое значение на латинице не в формате email,любое значение на латинице,пустое поле,-,false,пустое поле,on_project
42,пустое поле,пустое поле,Любое значение на кириллице,Любое значение на кириллице,любое значение на латинице с цифрами,user,-,25.08.2024,-
43,пустое поле,Любое значение на кириллице,пустое поле,только спецсимволы ,Любое значение на кириллице,-,true,любая будущая дата,active_search
44,пустое поле,любое значение на латинице,любое значение на латинице в формате email,пустое поле,только спецсимволы ,user,-,сегодняшняя дата,pause_search
45,пустое поле,любое значение на латинице  с спец символами,любое значение на латинице не в формате email,любое значение на латинице,пустое поле,admin,true,25.08.2024,on_project